"Num","time_unix","version","ihl","tos","len","id","flags","flags.value","frag","ttl","proto","chksum","src","dst","sport","dport","seq","ack","dataofs","reserved","flags","flags_value","window","chksum","urgptr"
"27","1433356863.2959","4","5","0","162","53844","DF","2","0","107","6","20528","205.188.12.91","10.8.8.178","443","48911","3987078468","2730303509","3","-2","PA","22","16382","44486","-2"
"28","1433356863.2959","4","5","0","40","52154","DF","2","0","64","6","33348","10.8.8.178","205.188.12.91","48911","443","2730303509","3987078590","3","-2","A","14","64678","22354","-2"
"29","1433356865.8803","4","5","0","338","55809","DF","2","0","107","6","18387","205.188.12.91","10.8.8.178","443","48911","3987078590","2730303509","3","-2","PA","22","16382","11723","-2"
"30","1433356865.8804","4","5","0","40","52155","DF","2","0","64","6","33347","10.8.8.178","205.188.12.91","48911","443","2730303509","3987078888","3","-2","A","14","64678","22056","-2"
"31","1433356866.078","4","5","0","162","55960","DF","2","0","107","6","18412","205.188.12.91","10.8.8.178","443","48911","3987078888","2730303509","3","-2","PA","22","16382","48416","-2"
"32","1433356866.0781","4","5","0","40","52156","DF","2","0","64","6","33346","10.8.8.178","205.188.12.91","48911","443","2730303509","3987079010","3","-2","A","14","64678","21934","-2"
"33","1433356867.8315","4","5","0","162","57348","DF","2","0","107","6","17024","205.188.12.91","10.8.8.178","443","48911","3987079010","2730303509","3","-2","PA","22","16382","29446","-2"
"34","1433356867.8317","4","5","0","40","52157","DF","2","0","64","6","33345","10.8.8.178","205.188.12.91","48911","443","2730303509","3987079132","3","-2","A","14","64678","21812","-2"
"35","1433356868.4978","4","5","0","146","52158","DF","2","0","64","6","33238","10.8.8.178","205.188.12.91","48911","443","2730303509","3987079132","3","-2","PA","22","64678","4031","-2"
"36","1433356868.7053","4","5","0","40","58041","DF","2","0","107","6","16453","205.188.12.91","10.8.8.178","443","48911","3987079132","2730303615","3","-2","A","14","16382","4467","-2"
"37","1433356868.7054","4","5","0","130","52159","DF","2","0","64","6","33253","10.8.8.178","205.188.12.91","48911","443","2730303615","3987079132","3","-2","PA","22","64678","44332","-2"
"38","1433356868.9115","4","5","0","40","58226","DF","2","0","107","6","16268","205.188.12.91","10.8.8.178","443","48911","3987079132","2730303705","3","-2","A","14","16382","4377","-2"
"39","1433356869.7826","4","5","0","54","65135","DF","2","0","46","6","27219","157.56.52.13","10.8.8.178","40011","56909","708378705","4055103692","6","-2","PA","22","81","30985","-2"
"40","1433356869.7826","4","5","0","52","61800","DF","2","0","64","6","25948","10.8.8.178","157.56.52.13","56909","40011","4055103692","708378707","6","-2","A","14","1442","24363","-2"
"41","1433356870.0009","4","5","0","54","61801","DF","2","0","64","6","25945","10.8.8.178","157.56.52.13","56909","40011","4055103692","708378707","6","-2","PA","22","1442","36532","-2"
"42","1433356870.2708","4","5","0","52","65136","DF","2","0","46","6","27220","157.56.52.13","10.8.8.178","40011","56909","708378707","4055103694","6","-2","A","14","81","25546","-2"
"43","1433356874.8417","4","5","0","226","52160","DF","2","0","64","6","33156","10.8.8.178","205.188.12.91","48911","443","2730303705","3987079132","3","-2","PA","22","64678","56530","-2"
"44","1433356875.0495","4","5","0","322","63043","DF","2","0","107","6","11169","205.188.12.91","10.8.8.178","443","48911","3987079132","2730303891","3","-2","PA","22","16382","14884","-2"
"45","1433356875.0498","4","5","0","162","52161","DF","2","0","64","6","33219","10.8.8.178","205.188.12.91","48911","443","2730303891","3987079414","3","-2","PA","22","64678","51179","-2"
"46","1433356875.0509","4","5","0","162","63050","DF","2","0","107","6","11322","205.188.12.91","10.8.8.178","443","48911","3987079414","2730303891","3","-2","PA","22","16382","47699","-2"
"47","1433356875.0899","4","5","0","40","52162","DF","2","0","64","6","33340","10.8.8.178","205.188.12.91","48911","443","2730304013","3987079536","3","-2","A","14","64678","20904","-2"
"48","1433356875.2558","4","5","0","40","63243","DF","2","0","107","6","11251","205.188.12.91","10.8.8.178","443","48911","3987079536","2730304013","3","-2","A","14","16382","3665","-2"
"49","1433356883.0071","4","5","0","370","3983","DF","2","0","107","6","4646","205.188.12.91","10.8.8.178","443","48911","3987079536","2730304013","3","-2","PA","22","16382","58353","-2"
"50","1433356883.0072","4","5","0","40","52163","DF","2","0","64","6","33339","10.8.8.178","205.188.12.91","48911","443","2730304013","3987079866","3","-2","A","14","64678","20574","-2"
"51","1433356883.2074","4","5","0","162","4165","DF","2","0","107","6","4672","205.188.12.91","10.8.8.178","443","48911","3987079866","2730304013","3","-2","PA","22","16382","41575","-2"
"52","1433356883.2074","4","5","0","40","52164","DF","2","0","64","6","33338","10.8.8.178","205.188.12.91","48911","443","2730304013","3987079988","3","-2","A","14","64678","20452","-2"
"53","1433356885.3963","4","5","0","162","5918","DF","2","0","107","6","2919","205.188.12.91","10.8.8.178","443","48911","3987079988","2730304013","3","-2","PA","22","16382","26765","-2"
"54","1433356885.3964","4","5","0","40","52165","DF","2","0","64","6","33337","10.8.8.178","205.188.12.91","48911","443","2730304013","3987080110","3","-2","A","14","64678","20330","-2"
"55","1433356890.9236","4","5","0","54","61802","DF","2","0","64","6","25944","10.8.8.178","157.56.52.13","56909","40011","4055103694","708378707","6","-2","PA","22","1442","59815","-2"
"56","1433356890.988","4","5","0","162","52166","DF","2","0","64","6","33214","10.8.8.178","205.188.12.91","48911","443","2730304013","3987080110","3","-2","PA","22","64678","14657","-2"
"57","1433356891.1939","4","5","0","52","65137","DF","2","0","46","6","27219","157.56.52.13","10.8.8.178","40011","56909","708378707","4055103696","6","-2","A","14","81","15082","-2"
"58","1433356891.194","4","5","0","40","10190","DF","2","0","107","6","64304","205.188.12.91","10.8.8.178","443","48911","3987080110","2730304135","3","-2","A","14","16382","2969","-2"
"59","1433356895.7451","4","5","0","162","13828","DF","2","0","107","6","60544","205.188.12.91","10.8.8.178","443","48911","3987080110","2730304135","3","-2","PA","22","16382","4201","-2"
"60","1433356895.7452","4","5","0","40","52167","DF","2","0","64","6","33335","10.8.8.178","205.188.12.91","48911","443","2730304135","3987080232","3","-2","A","14","64678","20086","-2"
"61","1433356896.7719","4","5","0","162","14593","DF","2","0","107","6","59779","205.188.12.91","10.8.8.178","443","48911","3987080232","2730304135","3","-2","PA","22","16382","38434","-2"
"62","1433356896.772","4","5","0","40","52168","DF","2","0","64","6","33334","10.8.8.178","205.188.12.91","48911","443","2730304135","3987080354","3","-2","A","14","64678","19964","-2"
"63","1433356901.3342","4","5","0","162","18216","DF","2","0","107","6","56156","205.188.12.91","10.8.8.178","443","48911","3987080354","2730304135","3","-2","PA","22","16382","34765","-2"
"64","1433356901.3342","4","5","0","40","52169","DF","2","0","64","6","33333","10.8.8.178","205.188.12.91","48911","443","2730304135","3987080476","3","-2","A","14","64678","19842","-2"
"65","1433356904.4879","4","5","0","258","52170","DF","2","0","64","6","33114","10.8.8.178","205.188.12.91","48911","443","2730304135","3987080476","3","-2","PA","22","64678","58656","-2"
"66","1433356904.6944","4","5","0","322","20691","DF","2","0","107","6","53521","205.188.12.91","10.8.8.178","443","48911","3987080476","2730304353","3","-2","PA","22","16382","27314","-2"
"67","1433356904.6945","4","5","0","162","52171","DF","2","0","64","6","33209","10.8.8.178","205.188.12.91","48911","443","2730304353","3987080758","3","-2","PA","22","64678","51385","-2"
"68","1433356904.703","4","5","0","162","20696","DF","2","0","107","6","53676","205.188.12.91","10.8.8.178","443","48911","3987080758","2730304353","3","-2","PA","22","16382","52128","-2"
"69","1433356904.742","4","5","0","40","52172","DF","2","0","64","6","33330","10.8.8.178","205.188.12.91","48911","443","2730304475","3987080880","3","-2","A","14","64678","19098","-2"
"70","1433356904.9004","4","5","0","40","20837","DF","2","0","107","6","53657","205.188.12.91","10.8.8.178","443","48911","3987080880","2730304475","3","-2","A","14","16382","1859","-2"
"71","1433356905.0999","4","5","0","162","52173","DF","2","0","64","6","33207","10.8.8.178","205.188.12.91","48911","443","2730304475","3987080880","3","-2","PA","22","64678","16379","-2"
"72","1433356905.3063","4","5","0","40","21142","DF","2","0","107","6","53352","205.188.12.91","10.8.8.178","443","48911","3987080880","2730304597","3","-2","A","14","16382","1737","-2"
"73","1433356910.5269","4","5","0","130","52174","DF","2","0","64","6","33238","10.8.8.178","205.188.12.91","48911","443","2730304597","3987080880","3","-2","PA","22","64678","46515","-2"
"74","1433356910.7371","4","5","0","40","25081","DF","2","0","107","6","49413","205.188.12.91","10.8.8.178","443","48911","3987080880","2730304687","3","-2","A","14","16382","1647","-2"
"75","1433356910.7373","4","5","0","258","52175","DF","2","0","64","6","33109","10.8.8.178","205.188.12.91","48911","443","2730304687","3987080880","3","-2","PA","22","64678","6517","-2"
"76","1433356910.9435","4","5","0","322","25225","DF","2","0","107","6","48987","205.188.12.91","10.8.8.178","443","48911","3987080880","2730304905","3","-2","PA","22","16382","33486","-2"
"77","1433356910.9435","4","5","0","40","52176","DF","2","0","64","6","33326","10.8.8.178","205.188.12.91","48911","443","2730304905","3987081162","3","-2","A","14","64678","18386","-2"
"78","1433356910.9445","4","5","0","162","25227","DF","2","0","107","6","49145","205.188.12.91","10.8.8.178","443","48911","3987081162","2730304905","3","-2","PA","22","16382","34354","-2"
"79","1433356910.9445","4","5","0","40","52177","DF","2","0","64","6","33325","10.8.8.178","205.188.12.91","48911","443","2730304905","3987081284","3","-2","A","14","64678","18264","-2"
"80","1433356913.4327","4","5","0","162","52178","DF","2","0","64","6","33202","10.8.8.178","205.188.12.91","48911","443","2730304905","3987081284","3","-2","PA","22","64678","2225","-2"
"81","1433356913.641","4","5","0","40","27285","DF","2","0","107","6","47209","205.188.12.91","10.8.8.178","443","48911","3987081284","2730305027","3","-2","A","14","16382","903","-2"
"82","1433356925.5931","4","5","0","274","52179","DF","2","0","64","6","33089","10.8.8.178","205.188.12.91","48911","443","2730305027","3987081284","3","-2","PA","22","64678","35149","-2"
"83","1433356925.8001","4","5","0","322","36700","DF","2","0","107","6","37512","205.188.12.91","10.8.8.178","443","48911","3987081284","2730305261","3","-2","PA","22","16382","9878","-2"
"84","1433356925.8001","4","5","0","162","52180","DF","2","0","64","6","33200","10.8.8.178","205.188.12.91","48911","443","2730305261","3987081566","3","-2","PA","22","64678","9212","-2"
"85","1433356925.8003","4","5","0","162","36701","DF","2","0","107","6","37671","205.188.12.91","10.8.8.178","443","48911","3987081566","2730305261","3","-2","PA","22","16382","57282","-2"
"86","1433356925.8385","4","5","0","40","52181","DF","2","0","64","6","33321","10.8.8.178","205.188.12.91","48911","443","2730305383","3987081688","3","-2","A","14","64678","17382","-2"
"87","1433356926.0073","4","5","0","40","36869","DF","2","0","107","6","37625","205.188.12.91","10.8.8.178","443","48911","3987081688","2730305383","3","-2","A","14","16382","143","-2"
"88","1433356931.3069","4","5","0","524","40926","DF","2","0","107","6","33084","205.188.12.91","10.8.8.178","443","48911","3987081688","2730305383","3","-2","PA","22","16382","53355","-2"
"89","1433356931.307","4","5","0","40","52182","DF","2","0","64","6","33320","10.8.8.178","205.188.12.91","48911","443","2730305383","3987082172","3","-2","A","14","64678","16898","-2"
"90","1433356936.953","4","5","0","162","52183","DF","2","0","64","6","33197","10.8.8.178","205.188.12.91","48911","443","2730305383","3987082172","3","-2","PA","22","64678","65527","-2"
"91","1433356937.1594","4","5","0","40","45217","DF","2","0","107","6","29277","205.188.12.91","10.8.8.178","443","48911","3987082172","2730305505","3","-2","A","14","16382","65072","-2"
"92","1433356941.0549","4","5","0","178","52184","DF","2","0","64","6","33180","10.8.8.178","205.188.12.91","48911","443","2730305505","3987082172","3","-2","PA","22","64678","43764","-2"
"93","1433356941.2673","4","5","0","40","48267","DF","2","0","107","6","26227","205.188.12.91","10.8.8.178","443","48911","3987082172","2730305643","3","-2","A","14","16382","64934","-2"
"94","1433356941.2678","4","5","0","194","52185","DF","2","0","64","6","33163","10.8.8.178","205.188.12.91","48911","443","2730305643","3987082172","3","-2","PA","22","64678","32940","-2"
"95","1433356941.4388","4","5","0","162","48395","DF","2","0","107","6","25977","205.188.12.91","10.8.8.178","443","48911","3987082172","2730305643","3","-2","PA","22","16382","20512","-2"
"96","1433356941.4388","4","5","0","40","52186","DF","2","0","64","6","33316","10.8.8.178","205.188.12.91","48911","443","2730305797","3987082294","3","-2","A","14","64678","16362","-2"
"97","1433356941.4746","4","5","0","322","48431","DF","2","0","107","6","25781","205.188.12.91","10.8.8.178","443","48911","3987082294","2730305797","3","-2","PA","22","16382","40571","-2"
"98","1433356941.4747","4","5","0","40","52187","DF","2","0","64","6","33315","10.8.8.178","205.188.12.91","48911","443","2730305797","3987082576","3","-2","A","14","64678","16080","-2"
"99","1433356941.4747","4","5","0","162","48434","DF","2","0","107","6","25938","205.188.12.91","10.8.8.178","443","48911","3987082576","2730305797","3","-2","PA","22","16382","45240","-2"
"100","1433356941.4748","4","5","0","40","52188","DF","2","0","64","6","33314","10.8.8.178","205.188.12.91","48911","443","2730305797","3987082698","3","-2","A","14","64678","15958","-2"
"101","1433356942.3615","4","5","0","162","52189","DF","2","0","64","6","33191","10.8.8.178","205.188.12.91","48911","443","2730305797","3987082698","3","-2","PA","22","64678","14679","-2"
"102","1433356942.5751","4","5","0","40","49375","DF","2","0","107","6","25119","205.188.12.91","10.8.8.178","443","48911","3987082698","2730305919","3","-2","A","14","16382","64132","-2"
"103","1433356945.8806","4","5","0","226","52190","DF","2","0","64","6","33126","10.8.8.178","205.188.12.91","48911","443","2730305919","3987082698","3","-2","PA","22","64678","44351","-2"
"104","1433356946.0872","4","5","0","322","52333","DF","2","0","107","6","21879","205.188.12.91","10.8.8.178","443","48911","3987082698","2730306105","3","-2","PA","22","16382","62533","-2"
"105","1433356946.0875","4","5","0","162","52191","DF","2","0","64","6","33189","10.8.8.178","205.188.12.91","48911","443","2730306105","3987082980","3","-2","PA","22","64678","48815","-2"
"106","1433356946.0876","4","5","0","162","52334","DF","2","0","107","6","22038","205.188.12.91","10.8.8.178","443","48911","3987082980","2730306105","3","-2","PA","22","16382","6826","-2"
"107","1433356946.1299","4","5","0","40","52192","DF","2","0","64","6","33310","10.8.8.178","205.188.12.91","48911","443","2730306227","3987083102","3","-2","A","14","64678","15124","-2"
"108","1433356946.2929","4","5","0","40","52477","DF","2","0","107","6","22017","205.188.12.91","10.8.8.178","443","48911","3987083102","2730306227","3","-2","A","14","16382","63420","-2"
"109","1433356950.9385","4","5","0","521","14087","DF","2","0","64","6","20330","10.8.8.178","134.170.25.26","54269","443","2978547233","3749416442","6","-2","PA","22","65398","24029","-2"
"110","1433356951.1589","4","5","0","201","2621","DF","2","0","113","6","19572","134.170.25.26","10.8.8.178","443","54269","3749416442","2978547702","6","-2","PA","22","64460","12413","-2"
"111","1433356951.1591","4","5","0","52","14088","DF","2","0","64","6","20798","10.8.8.178","134.170.25.26","54269","443","2978547702","3749416591","6","-2","A","14","65398","64123","-2"
"116","1433356970.5113","4","5","0","402","5596","DF","2","0","107","6","3001","205.188.12.91","10.8.8.178","443","48911","3987083102","2730306227","3","-2","PA","22","16382","52670","-2"
"117","1433356970.5114","4","5","0","40","52193","DF","2","0","64","6","33309","10.8.8.178","205.188.12.91","48911","443","2730306227","3987083464","3","-2","A","14","64678","14762","-2"
"118","1433356970.7107","4","5","0","162","5789","DF","2","0","107","6","3048","205.188.12.91","10.8.8.178","443","48911","3987083464","2730306227","3","-2","PA","22","16382","63318","-2"
"119","1433356970.7109","4","5","0","40","52194","DF","2","0","64","6","33308","10.8.8.178","205.188.12.91","48911","443","2730306227","3987083586","3","-2","A","14","64678","14640","-2"
"120","1433356979.7865","4","5","0","162","52195","DF","2","0","64","6","33185","10.8.8.178","205.188.12.91","48911","443","2730306227","3987083586","3","-2","PA","22","64678","44718","-2"
"121","1433356979.9929","4","5","0","40","12760","DF","2","0","107","6","61734","205.188.12.91","10.8.8.178","443","48911","3987083586","2730306349","3","-2","A","14","16382","62814","-2"
"122","1433356980.2062","4","5","0","162","12957","DF","2","0","107","6","61415","205.188.12.91","10.8.8.178","443","48911","3987083586","2730306349","3","-2","PA","22","16382","36868","-2"
"123","1433356980.2062","4","5","0","40","52196","DF","2","0","64","6","33306","10.8.8.178","205.188.12.91","48911","443","2730306349","3987083708","3","-2","A","14","64678","14396","-2"
"124","1433356987.3227","4","5","0","226","52197","DF","2","0","64","6","33119","10.8.8.178","205.188.12.91","48911","443","2730306349","3987083708","3","-2","PA","22","64678","64656","-2"
"125","1433356987.5313","4","5","0","322","18884","DF","2","0","107","6","55328","205.188.12.91","10.8.8.178","443","48911","3987083708","2730306535","3","-2","PA","22","16382","30456","-2"
"126","1433356987.5314","4","5","0","162","52198","DF","2","0","64","6","33182","10.8.8.178","205.188.12.91","48911","443","2730306535","3987083990","3","-2","PA","22","64678","6878","-2"
"127","1433356987.5315","4","5","0","162","18886","DF","2","0","107","6","55486","205.188.12.91","10.8.8.178","443","48911","3987083990","2730306535","3","-2","PA","22","16382","26537","-2"
"128","1433356987.5699","4","5","0","40","52199","DF","2","0","64","6","33303","10.8.8.178","205.188.12.91","48911","443","2730306657","3987084112","3","-2","A","14","64678","13684","-2"
"129","1433356987.7375","4","5","0","40","19010","DF","2","0","107","6","55484","205.188.12.91","10.8.8.178","443","48911","3987084112","2730306657","3","-2","A","14","16382","61980","-2"
"130","1433356988.2564","4","5","0","460","19478","DF","2","0","107","6","54596","205.188.12.91","10.8.8.178","443","48911","3987084112","2730306657","3","-2","PA","22","16382","3314","-2"
"131","1433356988.2564","4","5","0","40","52200","DF","2","0","64","6","33302","10.8.8.178","205.188.12.91","48911","443","2730306657","3987084532","3","-2","A","14","64678","13264","-2"
"132","1433356989.8171","4","5","0","54","65138","DF","2","0","46","6","27216","157.56.52.13","10.8.8.178","40011","56909","708378707","4055103696","6","-2","PA","22","81","33795","-2"
"133","1433356989.8172","4","5","0","52","61803","DF","2","0","64","6","25945","10.8.8.178","157.56.52.13","56909","40011","4055103696","708378709","6","-2","A","14","1442","29876","-2"
"134","1433356990.0107","4","5","0","54","61804","DF","2","0","64","6","25942","10.8.8.178","157.56.52.13","56909","40011","4055103696","708378709","6","-2","PA","22","1442","19890","-2"
"135","1433356990.2804","4","5","0","52","65139","DF","2","0","46","6","27217","157.56.52.13","10.8.8.178","40011","56909","708378709","4055103698","6","-2","A","14","81","31070","-2"
"136","1433356996.7013","4","5","0","162","26268","DF","2","0","107","6","48104","205.188.12.91","10.8.8.178","443","48911","3987084532","2730306657","3","-2","PA","22","16382","30894","-2"
"137","1433356996.7014","4","5","0","40","52201","DF","2","0","64","6","33301","10.8.8.178","205.188.12.91","48911","443","2730306657","3987084654","3","-2","A","14","64678","13142","-2"
"138","1433357010.9881","4","5","0","57","3065","DF","2","0","64","6","18854","10.8.8.178","157.56.53.46","38688","12350","119159507","2628954366","6","-2","PA","22","252","21551","-2"
"139","1433357010.9884","4","5","0","54","61805","DF","2","0","64","6","25941","10.8.8.178","157.56.52.13","56909","40011","4055103698","708378709","6","-2","PA","22","1442","10416","-2"
"140","1433357011.2584","4","5","0","52","65140","DF","2","0","46","6","27216","157.56.52.13","10.8.8.178","40011","56909","708378709","4055103700","6","-2","A","14","81","20579","-2"
"141","1433357011.2659","4","5","0","57","55507","DF","2","0","46","6","36555","157.56.53.46","10.8.8.178","12350","38688","2628954366","119159512","6","-2","PA","22","29","21681","-2"
"142","1433357011.2659","4","5","0","52","3066","DF","2","0","64","6","18858","10.8.8.178","157.56.53.46","38688","12350","119159512","2628954371","6","-2","A","14","252","2684","-2"
"149","1433357015.9469","4","5","0","60","27702","DF","2","0","64","6","33077","10.8.8.178","137.117.177.33","40023","443","3907168762","-2","8","-2","S","0","29198","37281","-2"
"150","1433357016.0842","4","5","0","60","12587","DF","2","0","114","6","35392","137.117.177.33","10.8.8.178","443","40023","1391467546","3907168763","8","-2","SA","16","8190","41989","-2"
"151","1433357016.0842","4","5","0","52","27703","DF","2","0","64","6","33084","10.8.8.178","137.117.177.33","40023","443","3907168763","1391467547","6","-2","A","14","227","61759","-2"
"152","1433357016.09","4","5","0","114","27704","DF","2","0","64","6","33021","10.8.8.178","137.117.177.33","40023","443","3907168763","1391467547","6","-2","PA","22","227","11640","-2"
"153","1433357016.2355","4","5","0","1360","12588","DF","2","0","114","6","34091","137.117.177.33","10.8.8.178","443","40023","1391467547","3907168825","6","-2","A","14","514","41179","-2"
"154","1433357016.2356","4","5","0","52","27705","DF","2","0","64","6","33082","10.8.8.178","137.117.177.33","40023","443","3907168825","1391468855","6","-2","A","14","249","60315","-2"
"155","1433357016.2356","4","5","0","1360","12589","DF","2","0","114","6","34090","137.117.177.33","10.8.8.178","443","40023","1391468855","3907168825","6","-2","A","14","514","30689","-2"
"156","1433357016.2356","4","5","0","52","27706","DF","2","0","64","6","33081","10.8.8.178","137.117.177.33","40023","443","3907168825","1391470163","6","-2","A","14","272","58984","-2"
"157","1433357016.2357","4","5","0","539","12590","DF","2","0","114","6","34910","137.117.177.33","10.8.8.178","443","40023","1391470163","3907168825","6","-2","PA","22","514","11643","-2"
"158","1433357016.2357","4","5","0","52","27707","DF","2","0","64","6","33080","10.8.8.178","137.117.177.33","40023","443","3907168825","1391470650","6","-2","A","14","292","58477","-2"
"159","1433357016.2569","4","5","0","319","27708","DF","2","0","64","6","32812","10.8.8.178","137.117.177.33","40023","443","3907168825","1391470650","6","-2","PA","22","292","20256","-2"
"160","1433357016.4438","4","5","0","52","12591","DF","2","0","114","6","35396","137.117.177.33","10.8.8.178","443","40023","1391470650","3907169092","6","-2","A","14","513","57962","-2"
"161","1433357016.4438","4","5","0","111","27709","DF","2","0","64","6","33019","10.8.8.178","137.117.177.33","40023","443","3907169092","1391470650","6","-2","PA","22","292","56822","-2"
"162","1433357016.58","4","5","0","111","12592","DF","2","0","114","6","35336","137.117.177.33","10.8.8.178","443","40023","1391470650","3907169151","6","-2","PA","22","512","61309","-2"
"163","1433357016.5806","4","5","0","313","27710","DF","2","0","64","6","32816","10.8.8.178","137.117.177.33","40023","443","3907169151","1391470709","6","-2","PA","22","292","48513","-2"
"164","1433357016.7206","4","5","0","446","12593","DF","2","0","114","6","35000","137.117.177.33","10.8.8.178","443","40023","1391470709","3907169412","6","-2","FPA","23","511","64044","-2"
"165","1433357016.7212","4","5","0","89","27711","DF","2","0","64","6","33039","10.8.8.178","137.117.177.33","40023","443","3907169412","1391471104","6","-2","PA","22","313","38747","-2"
"166","1433357016.7215","4","5","0","52","27712","DF","2","0","64","6","33075","10.8.8.178","137.117.177.33","40023","443","3907169449","1391471104","6","-2","FA","15","313","57207","-2"
"167","1433357016.8576","4","5","0","52","12594","DF","2","0","114","6","35393","137.117.177.33","10.8.8.178","443","40023","1391471104","3907169450","6","-2","A","14","511","56995","-2"
"168","1433357029.9019","4","5","0","418","52419","DF","2","0","107","6","21697","205.188.12.91","10.8.8.178","443","48911","3987084654","2730306657","3","-2","PA","22","16382","21533","-2"
"169","1433357029.902","4","5","0","40","52202","DF","2","0","64","6","33300","10.8.8.178","205.188.12.91","48911","443","2730306657","3987085032","3","-2","A","14","64678","12764","-2"
"170","1433357030.1039","4","5","0","162","52598","DF","2","0","107","6","21774","205.188.12.91","10.8.8.178","443","48911","3987085032","2730306657","3","-2","PA","22","16382","42669","-2"
